Gene,ensembl_ids
CALU,ENSG00000128595
CCDC136,ENSG00000128596
ATP6V1F,ENSG00000128524
IRF5,ENSG00000128604
TNPO3,ENSG00000064419
TSPAN33,ENSG00000158457
AHCYL2,ENSG00000158467
STRIP2,ENSG00000128578
SMKR1,ENSG00000240204
AC078846.1,ENSG00000273329
NRF1,ENSG00000106459
UBE2H,ENSG00000186591
AC073320.1,ENSG00000244036
ZC3HC1,ENSG00000091732
KLHDC10,ENSG00000128607
AC087071.1,ENSG00000229196
TMEM209,ENSG00000146842
CPA5,ENSG00000158525
CEP41,ENSG00000106477
MEST,ENSG00000106484
AC007938.2,ENSG00000270823
COPG2,ENSG00000158623
AC007938.3,ENSG00000270953
AC016831.7,
LINC00513,ENSG00000233559
AC016831.1,ENSG00000226380
AC016831.5,ENSG00000271204
AC058791.1,ENSG00000273319
MKLN1,ENSG00000128585
AC008264.2,ENSG00000273489
PODXL,ENSG00000128567
PLXNA4,ENSG00000221866
CHCHD3,ENSG00000106554
EXOC4,ENSG00000131558
SLC35B4,ENSG00000205060
AC009275.1,ENSG00000273297
AKR1B1,ENSG00000085662
BPGM,ENSG00000172331
CALD1,ENSG00000122786
AGBL3,ENSG00000146856
CYREN,
TMEM140,ENSG00000146859
AC083862.2,ENSG00000272941
WDR91,ENSG00000105875
CNOT4,ENSG00000080802
NUP205,ENSG00000155561
STMP1,
SLC13A4,ENSG00000164707
AC091736.1,ENSG00000273219
MTPN,ENSG00000105887
AC078845.1,ENSG00000232053
CREB3L2,ENSG00000182158
TRIM24,ENSG00000122779
SVOPL,ENSG00000157703
ZC3HAV1,ENSG00000105939
TTC26,ENSG00000105948
UBN2,ENSG00000157741
FMC1,ENSG00000164898
LUC7L2,ENSG00000146963
AC083880.1,ENSG00000273391
HIPK2,ENSG00000064393
TBXAS1,ENSG00000059377
PARP12,ENSG00000059378
KDM7A,ENSG00000006459
SLC37A3,ENSG00000157800
MKRN1,ENSG00000133606
ADCK2,ENSG00000133597
NDUFB2,ENSG00000090266
NDUFB2-AS1,ENSG00000240889
BRAF,ENSG00000157764
MRPS33,ENSG00000090263
AGK,ENSG00000006530
AC004918.1,ENSG00000244701
KIAA1147,ENSG00000257093
WEE2-AS1,ENSG00000228775
SSBP1,ENSG00000106028
TAS2R4,ENSG00000127364
MGAM,ENSG00000257335
CLEC5A,ENSG00000258227
TRBV2,ENSG00000226660
TRBV3-1,ENSG00000237702
TRBV4-1,ENSG00000211710
TRBV5-1,ENSG00000211734
TRBV6-2,
TRBV7-2,
TRBV9,ENSG00000211716
TRBV7-9,ENSG00000278030
TRBV14,
TRBV18,
TRBV19,ENSG00000211746
TRBV20-1,ENSG00000211747
TRBV21-1,ENSG00000251578
TRBV24-1,ENSG00000211750
TRBV27,ENSG00000211752
TRBV28,ENSG00000211753
TRBV29-1,ENSG00000232869
PRSS1,ENSG00000204983
TRBC1,
TRBC2,ENSG00000211772
EPHB6,ENSG00000106123
GSTK1,ENSG00000197448
CASP2,ENSG00000106144
CLCN1,ENSG00000188037
FAM131B,ENSG00000159784
AC093673.1,ENSG00000232533
ZYX,ENSG00000159840
EPHA1,ENSG00000146904
EPHA1-AS1,ENSG00000229153
TCAF2,ENSG00000170379
CTAGE6,ENSG00000271321
TCAF1,ENSG00000198420
ARHGEF35,ENSG00000213214
AC004889.1,ENSG00000244198
AC074386.1,ENSG00000284644
OR2A1-AS1,ENSG00000244479
ARHGEF5,ENSG00000050327
TPK1,ENSG00000196511
CNTNAP2,ENSG00000174469
AC005229.4,ENSG00000273314
CUL1,ENSG00000055130
EZH2,ENSG00000106462
GHET1,ENSG00000281189
PDIA4,ENSG00000155660
ZNF786,ENSG00000197362
ZNF425,ENSG00000204947
ZNF398,ENSG00000197024
ZNF282,ENSG00000170265
ZNF212,ENSG00000170260
ZNF783,ENSG00000204946
ZNF777,ENSG00000196453
ZNF746,ENSG00000181220
KRBA1,ENSG00000133619
ZNF467,ENSG00000181444
SSPO,ENSG00000197558
ZNF862,ENSG00000106479
ATP6V0E2-AS1,ENSG00000204934
ATP6V0E2,ENSG00000171130
AC092681.3,ENSG00000273011
ACTR3C,ENSG00000106526
LRRC61,ENSG00000127399
ZBED6CL,ENSG00000188707
REPIN1,ENSG00000214022
ZNF775,ENSG00000196456
AC073111.5,ENSG00000284691
LINC00996,ENSG00000242258
GIMAP8,ENSG00000171115
GIMAP7,ENSG00000179144
GIMAP4,ENSG00000133574
GIMAP6,ENSG00000133561
GIMAP2,ENSG00000106560
GIMAP1,ENSG00000213203
GIMAP5,ENSG00000196329
TMEM176B,ENSG00000106565
TMEM176A,ENSG00000002933
KCNH2,ENSG00000055118
NOS3,ENSG00000164867
ATG9B,ENSG00000181652
ABCB8,ENSG00000197150
ASIC3,ENSG00000213199
CDK5,ENSG00000164885
SLC4A2,ENSG00000164889
FASTK,ENSG00000164896
TMUB1,ENSG00000164897
AGAP3,ENSG00000133612
ABCF2,ENSG00000033050
ABCF2.1,
CHPF2,ENSG00000033100
SMARCD3,ENSG00000082014
AC021097.1,ENSG00000272661
NUB1,ENSG00000013374
WDR86,ENSG00000187260
RHEB,ENSG00000106615
PRKAG2,ENSG00000106617
PRKAG2-AS1,ENSG00000239911
GALNT11,ENSG00000178234
AC006017.1,ENSG00000229591
KMT2C,ENSG00000055609
LINC01003,ENSG00000261455
XRCC2,ENSG00000196584
ACTR3B,ENSG00000133627
PAXIP1-AS2,ENSG00000214106
PAXIP1,ENSG00000157212
AC093726.2,ENSG00000273183
PAXIP1-AS1,ENSG00000273344
AC144652.1,ENSG00000273117
INSIG1,ENSG00000186480
AC009403.1,ENSG00000216895
RBM33,ENSG00000184863
LINC01006,ENSG00000182648
RNF32,ENSG00000105982
LMBR1,ENSG00000105983
NOM1,ENSG00000146909
UBE3C,ENSG00000009335
DNAJB6,ENSG00000105993
PTPRN2,ENSG00000155093
AC011899.2,ENSG00000233038
AC011899.3,ENSG00000272839
NCAPG2,ENSG00000146918
ESYT2,ENSG00000117868
WDR60,ENSG00000126870
VIPR2,ENSG00000106018
PLCXD1,
GTPBP6,
LINC00685,
PPP2R3B,
AL732314.4,
AL672277.1,
CSF2RA,
IL3RA,
SLC25A6,
LINC00106,
ASMTL-AS1,
ASMTL,
P2RY8,
AKAP17A,
AL683807.1,
DHRSX,
ZBED1,
LINC00102,
CD99,
ARSD,ENSG00000006756
ARSD-AS1,ENSG00000229851
PRKX,ENSG00000183943
BX890604.1,ENSG00000205664
FAM239A,ENSG00000234449
FAM239B,ENSG00000205663
PUDP,ENSG00000130021
STS,ENSG00000101846
PNPLA4,ENSG00000006757
TBL1X,ENSG00000101849
WWC3,ENSG00000047644
CLCN4,ENSG00000073464
HCCS,ENSG00000004961
ARHGAP6,ENSG00000047648
MSL3,ENSG00000005302
PRPS2,ENSG00000101911
TLR7,ENSG00000196664
TLR8,ENSG00000101916
TMSB4X,ENSG00000205542
TCEANC,ENSG00000176896
RAB9A,ENSG00000123595
TRAPPC2,ENSG00000196459
OFD1,ENSG00000046651
GPM6B,ENSG00000046653
GEMIN8,ENSG00000046647
FANCB,ENSG00000181544
MOSPD2,ENSG00000130150
ASB9,ENSG00000102048
PIGA,ENSG00000165195
CLTRN,
CA5B,ENSG00000169239
INE2,ENSG00000281371
ZRSR2,ENSG00000169249
AP1S2,ENSG00000182287
CTPS2,ENSG00000047230
SYAP1,ENSG00000169895
TXLNG,ENSG00000086712
RBBP7,ENSG00000102054
REPS2,ENSG00000169891
NHS,ENSG00000188158
SCML1,ENSG00000047634
BEND2,ENSG00000177324
SCML2,ENSG00000102098
CDKL5,ENSG00000008086
PHKA2,ENSG00000044446
PDHA1,ENSG00000131828
SH3KBP1,ENSG00000147010
BCLAF3,ENSG00000173681
EIF1AX,ENSG00000173674
RPS6KA3,ENSG00000177189
CNKSR2,ENSG00000149970
KLHL34,ENSG00000185915
MBTPS2,ENSG00000012174
YY2,ENSG00000230797
SMS,ENSG00000102172
PHEX,ENSG00000102174
PRDX4,ENSG00000123131
ACOT9,ENSG00000123130
SAT1,ENSG00000130066
APOO,ENSG00000184831
CXorf58,ENSG00000165182
KLHL15,ENSG00000174010
EIF2S3,ENSG00000130741
ZFX,ENSG00000005889
PDK3,ENSG00000067992
POLA1,ENSG00000101868
CXorf21,ENSG00000120280
GK,ENSG00000198814
GK-AS1,ENSG00000243055
TAB3,ENSG00000157625
DMD,ENSG00000198947
LANCL3,ENSG00000147036
CYBB,ENSG00000165168
DYNLT3,ENSG00000165169
RPGR,ENSG00000156313
MID1IP1,ENSG00000165175
LINC01281,ENSG00000235304
BCOR,ENSG00000183337
ATP6AP2,ENSG00000182220
CXorf38,ENSG00000185753
MED14,ENSG00000180182
MED14OS,ENSG00000234636
USP9X,ENSG00000124486
DDX3X,ENSG00000215301
CASK,ENSG00000147044
GPR34,ENSG00000171659
GPR82,ENSG00000171657
EFHC2,ENSG00000183690
FUNDC1,ENSG00000069509
KDM6A,ENSG00000147050
MIR222HG,ENSG00000270069
AC234772.3,ENSG00000269902
KRBOX4,ENSG00000147121
ZNF674,ENSG00000251192
ZNF674-AS1,ENSG00000230844
CHST7,ENSG00000147119
SLC9A7,ENSG00000065923
RP2,ENSG00000102218
JADE3,ENSG00000102221
NDUFB11,ENSG00000147123
RBM10,ENSG00000182872
UBA1,ENSG00000130985
CDK16,ENSG00000102225
USP11,ENSG00000102226
ZNF41,ENSG00000147124
LINC01560,ENSG00000196741
ARAF,ENSG00000078061
SYN1,ENSG00000008056
TIMP1,ENSG00000102265
CFP,ENSG00000126759
ELK1,ENSG00000126767
UXT,ENSG00000126756
UXT-AS1,ENSG00000267064
ZNF81,ENSG00000197779
ZNF182,ENSG00000147118
ZNF630,ENSG00000221994
SLC38A5,ENSG00000017483
FTSJ1,ENSG00000068438
AF196972.1,ENSG00000224292
PORCN,ENSG00000102312
EBP,ENSG00000147155
TBC1D25,ENSG00000068354
RBM3,ENSG00000102317
WDR13,ENSG00000101940
WAS,ENSG00000015285
SUV39H1,ENSG00000101945
HDAC6,ENSG00000094631
PCSK1N,ENSG00000102109
TIMM17B,ENSG00000126768
PQBP1,ENSG00000102103
SLC35A2,ENSG00000102100
PIM2,ENSG00000102096
OTUD5,ENSG00000068308
KCND1,ENSG00000102057
GRIPAP1,ENSG00000068400
TFE3,ENSG00000068323
CCDC120,ENSG00000147144
PRAF2,ENSG00000243279
WDR45,ENSG00000196998
GPKOW,ENSG00000068394
MAGIX,ENSG00000269313
PLP2,ENSG00000102007
PRICKLE3,ENSG00000012211
SYP,ENSG00000102003
CCDC22,ENSG00000101997
FOXP3,ENSG00000049768
PPP1R3F,ENSG00000049769
AC232271.1,ENSG00000270012
USP27X-AS1,ENSG00000234390
USP27X,ENSG00000273820
CLCN5,ENSG00000171365
CCNB3,ENSG00000147082
DGKK,ENSG00000274588
NUDT10,ENSG00000122824
AL158055.1,ENSG00000226530
CXorf67,ENSG00000187690
NUDT11,ENSG00000196368
GSPT2,ENSG00000189369
MAGED1,ENSG00000179222
FAM156A,ENSG00000268350
TSPYL2,ENSG00000184205
KANTR,ENSG00000232593
KDM5C,ENSG00000126012
IQSEC2,ENSG00000124313
SMC1A,ENSG00000072501
RIBC1,ENSG00000158423
HSD17B10,ENSG00000072506
HUWE1,ENSG00000086758
PHF8,ENSG00000172943
FAM120C,ENSG00000184083
WNK3,ENSG00000196632
TSR2,ENSG00000158526
GNL3L,ENSG00000130119
MAGED2,ENSG00000102316
APEX2,ENSG00000169188
ALAS2,ENSG00000158578
FAM104B,ENSG00000182518
MAGEH1,ENSG00000187601
USP51,ENSG00000247746
RRAGB,ENSG00000083750
AL445472.1,ENSG00000227486
KLF8,ENSG00000102349
UBQLN2,ENSG00000188021
NBDY,ENSG00000204272
SPIN3,ENSG00000204271
SPIN2B,ENSG00000186787
AL022157.1,ENSG00000226310
SPIN2A,ENSG00000147059
FAAH2,ENSG00000165591
ZXDB,ENSG00000198455
ZXDA,ENSG00000198205
SPIN4,ENSG00000186767
ARHGEF9,ENSG00000131089
AMER1,ENSG00000184675
MTMR8,ENSG00000102043
ZC4H2,ENSG00000126970
ZC3H12B,ENSG00000102053
LAS1L,ENSG00000001497
MSN,ENSG00000147065
AL034397.3,ENSG00000274536
VSIG4,ENSG00000155659
AR,ENSG00000169083
OPHN1,ENSG00000079482
YIPF6,ENSG00000181704
STARD8,ENSG00000130052
EFNB1,ENSG00000090776
PJA1,ENSG00000181191
EDA,ENSG00000158813
IGBP1,ENSG00000089289
PDZD11,ENSG00000120509
KIF4A,ENSG00000090889
DLG3,ENSG00000082458
SNX12,ENSG00000147164
FOXO4,ENSG00000184481
CXorf65,ENSG00000204165
IL2RG,ENSG00000147168
MED12,ENSG00000184634
NLGN3,ENSG00000196338
AL590764.1,ENSG00000228427
ZMYM3,ENSG00000147130
NONO,ENSG00000147140
ITGB1BP2,ENSG00000147166
TAF1,ENSG00000147133
OGT,ENSG00000147162
GCNA,ENSG00000147174
CXCR3,ENSG00000186810
LINC00891,ENSG00000281852
NHSL2,ENSG00000204131
RTL5,ENSG00000242732
PIN4,ENSG00000102309
ERCC6L,ENSG00000186871
RPS4X,ENSG00000198034
HDAC8,ENSG00000147099
NAP1L2,ENSG00000186462
CHIC1,ENSG00000204116
JPX,ENSG00000225470
FTX,ENSG00000230590
AL353804.1,ENSG00000228906
RLIM,ENSG00000131263
NEXMIF,ENSG00000050030
ABCB7,ENSG00000131269
UPRT,ENSG00000094841
ZDHHC15,ENSG00000102383
PBDC1,ENSG00000102390
MAGEE1,ENSG00000198934
ATRX,ENSG00000085224
MAGT1,ENSG00000102158
COX7B,ENSG00000131174
ATP7A,ENSG00000165240
PGK1,ENSG00000102144
TAF9B,ENSG00000187325
CYSLTR1,ENSG00000173198
LPAR4,ENSG00000147145
P2RY10,ENSG00000078589
GPR174,ENSG00000147138
ITM2A,ENSG00000078596
BRWD3,ENSG00000165288
HMGN5,ENSG00000198157
SH3BGRL,ENSG00000131171
HDX,ENSG00000165259
APOOL,ENSG00000155008
ZNF711,ENSG00000147180
CHM,ENSG00000188419
NAP1L3,ENSG00000186310
DIAPH2,ENSG00000147202
RPA4,ENSG00000204086
TSPAN6,ENSG00000000003
SYTL4,ENSG00000102362
CSTF2,ENSG00000101811
XKRX,ENSG00000182489
TRMT2B,ENSG00000188917
CENPI,ENSG00000102384
TIMM8A,ENSG00000126953
BTK,ENSG00000010671
RPL36A,ENSG00000241343
GLA,ENSG00000102393
HNRNPH2,ENSG00000126945
ARMCX4,ENSG00000196440
ARMCX1,ENSG00000126947
ARMCX6,ENSG00000198960
ARMCX3,ENSG00000102401
ARMCX2,ENSG00000184867
ZMAT1,ENSG00000166432
TCEAL2,ENSG00000184905
BEX5,ENSG00000184515
TMSB15A,ENSG00000158164
ARMCX5,ENSG00000125962
GPRASP1,ENSG00000198932
GPRASP2,ENSG00000158301
BHLHB9,ENSG00000198908
LINC00630,ENSG00000223546
Z68871.1,ENSG00000239407
BEX1,ENSG00000133169
BEX4,ENSG00000102409
TCEAL8,ENSG00000180964
BEX2,ENSG00000133134
TCEAL9,ENSG00000185222
BEX3,ENSG00000166681
TCEAL4,ENSG00000133142
TCEAL3,ENSG00000196507
TCEAL1,ENSG00000172465
MORF4L2,ENSG00000123562
MORF4L2-AS1,ENSG00000231154
RAB9B,ENSG00000123570
TMSB15B-AS1,
TMSB15B,ENSG00000269226
TMSB15B.1,
SLC25A53,ENSG00000269743
ZCCHC18,ENSG00000166707
FAM199X,ENSG00000123575
CXorf57,ENSG00000147231
TBC1D8B,ENSG00000133138
MORC4,ENSG00000133131
RBM41,ENSG00000089682
NUP62CL,ENSG00000198088
FRMPD3,ENSG00000147234
PRPS1,ENSG00000147224
TSC22D3,ENSG00000157514
MID2,ENSG00000080561
VSIG1,ENSG00000101842
PSMD10,ENSG00000101843
ATG4A,ENSG00000101844
NXT2,ENSG00000101888
KCNE5,ENSG00000176076
ACSL4,ENSG00000068366
TMEM164,ENSG00000157600
AMMECR1,ENSG00000101935
ALG13,ENSG00000101901
AMOT,ENSG00000126016
PLS3,ENSG00000102024
KLHL13,ENSG00000003096
WDR44,ENSG00000131725
DOCK11,ENSG00000147251
IL13RA1,ENSG00000131724
LONRF3,ENSG00000175556
PGRMC1,ENSG00000101856
SLC25A43,ENSG00000077713
SLC25A5,ENSG00000005022
CXorf56,ENSG00000018610
UBE2A,ENSG00000077721
NKRF,ENSG00000186416
SEPT6,ENSG00000125354
SOWAHD,ENSG00000187808
RPL39,ENSG00000198918
UPF3B,ENSG00000125351
RNF113A,ENSG00000125352
NDUFA1,ENSG00000125356
NKAP,ENSG00000101882
RHOXF1-AS1,ENSG00000258545
RHOXF1,ENSG00000101883
ZBTB33,ENSG00000177485
TMEM255A,ENSG00000125355
LAMP2,ENSG00000005893
CUL4B,ENSG00000158290
MCTS1,ENSG00000232119
C1GALT1C1,ENSG00000171155
THOC2,ENSG00000125676
XIAP,ENSG00000101966
AL121601.1,ENSG00000232412
STAG2,ENSG00000101972
SH2D1A,ENSG00000183918
TENM1,ENSG00000009694
SMARCA1,ENSG00000102038
OCRL,ENSG00000122126
XPNPEP2,ENSG00000122121
SASH3,ENSG00000122122
ZDHHC9,ENSG00000188706
UTP14A,ENSG00000156697
BCORL1,ENSG00000085185
ELF4,ENSG00000102034
AIFM1,ENSG00000156709
RAB33A,ENSG00000134594
ZNF280C,ENSG00000056277
SLC25A14,ENSG00000102078
RBMX2,ENSG00000134597
ENOX2,ENSG00000165675
FIRRE,ENSG00000213468
STK26,ENSG00000134602
RAP2C,ENSG00000123728
RAP2C-AS1,ENSG00000232160
MBNL3,ENSG00000076770
GPC4,ENSG00000076716
PHF6,ENSG00000156531
HPRT1,ENSG00000165704
MIR503HG,ENSG00000223749
FAM122B,ENSG00000156504
FAM122C,ENSG00000156500
MOSPD1,ENSG00000101928
SMIM10,ENSG00000184785
RTL8B,ENSG00000212747
RTL8C,ENSG00000134590
RTL8A,ENSG00000203950
ZNF75D,ENSG00000186376
ZNF449,ENSG00000173275
SMIM10L2A,ENSG00000178947
INTS6L,ENSG00000165359
MMGT1,ENSG00000169446
SLC9A6,ENSG00000198689
FHL1,ENSG00000022267
MAP7D3,ENSG00000129680
HTATSF1,ENSG00000102241
CD40LG,ENSG00000102245
ARHGEF6,ENSG00000129675
AL683813.1,ENSG00000232611
RBMX,ENSG00000147274
MCF2,ENSG00000101977
ATP11C,ENSG00000101974
LDOC1,ENSG00000182195
SLITRK4,ENSG00000179542
FMR1,ENSG00000102081
AFF2,ENSG00000155966
IDS,ENSG00000010404
LINC00893,ENSG00000241769
CXorf40A,ENSG00000197620
TMEM185A,ENSG00000269556
CXorf40B,ENSG00000197021
LINC00894,ENSG00000235703
MAMLD1,ENSG00000013619
MTM1,ENSG00000171100
MTMR1,ENSG00000063601
CD99L2,ENSG00000102181
HMGB3,ENSG00000029993
VMA21,ENSG00000160131
CETN2,ENSG00000147400
NSDHL,ENSG00000147383
ZNF185,ENSG00000147394
PNMA5,ENSG00000198883
PNMA3,ENSG00000183837
ZNF275,ENSG00000063587
ZFP92,ENSG00000189420
HAUS7,ENSG00000213397
CCNQ,
SLC6A8,ENSG00000130821
BCAP31,ENSG00000185825
ABCD1,ENSG00000101986
IDH3G,ENSG00000067829
SSR4,ENSG00000180879
PDZD4,ENSG00000067840
L1CAM,ENSG00000198910
ARHGAP4,ENSG00000089820
NAA10,ENSG00000102030
RENBP,ENSG00000102032
HCFC1,ENSG00000172534
HCFC1-AS1,ENSG00000235802
TMEM187,ENSG00000177854
IRAK1,ENSG00000184216
MECP2,ENSG00000169057
TKTL1,ENSG00000007350
AC245140.1,ENSG00000231830
FLNA,ENSG00000196924
EMD,ENSG00000102119
RPL10,ENSG00000147403
AC245140.2,ENSG00000280195
DNASE1L1,ENSG00000013563
TAZ,ENSG00000102125
AC244090.1,ENSG00000232155
ATP6AP1,ENSG00000071553
GDI1,ENSG00000203879
FAM50A,ENSG00000071859
PLXNA3,ENSG00000130827
LAGE3,ENSG00000196976
UBL4A,ENSG00000102178
SLC10A3,ENSG00000126903
FAM3A,ENSG00000071889
G6PD,ENSG00000160211
IKBKG,ENSG00000269335
GAB3,ENSG00000160219
DKC1,ENSG00000130826
MPP1,ENSG00000130830
F8,ENSG00000185010
F8A1,ENSG00000277203
FUNDC2,ENSG00000165775
CMC4,ENSG00000182712
MTCP1,ENSG00000214827
BRCC3,ENSG00000185515
VBP1,ENSG00000155959
RAB39B,ENSG00000155961
CLIC2,ENSG00000155962
F8A3,ENSG00000277150
TMLHE-AS1,ENSG00000224533
BX571846.1,ENSG00000225393
TMLHE,ENSG00000185973
SPRY3,ENSG00000168939
VAMP7,ENSG00000124333
IL9R,
ZNF596,ENSG00000172748
AC004908.3,ENSG00000273402
FBXO25,ENSG00000147364
TDRP,ENSG00000180190
ERICH1,ENSG00000104714
CLN8,ENSG00000182372
AC100810.3,ENSG00000282021
AC100810.1,ENSG00000253982
ARHGEF10,ENSG00000104728
KBTBD11,ENSG00000176595
MYOM2,ENSG00000036448
AC246817.2,ENSG00000254319
AC016065.1,ENSG00000246089
MCPH1,ENSG00000147316
ANGPT2,ENSG00000091879
MCPH1-AS1,ENSG00000249898
AGPAT5,ENSG00000155189
FAM66B,ENSG00000215374
PRAG1,ENSG00000275342
CLDN23,ENSG00000253958
MFHAS1,ENSG00000147324
ERI1,ENSG00000104626
PPP1R3B,ENSG00000173281
AC022784.3,ENSG00000253426
AC022784.1,ENSG00000248538
AC021242.3,ENSG00000272267
TNKS,ENSG00000173273
AC034111.1,ENSG00000260093
MSRA,ENSG00000175806
AC104964.4,
SOX7,ENSG00000171056
PINX1.1,
XKR6,ENSG00000171044
AF131215.7,ENSG00000270076
AF131216.4,ENSG00000280273
MTMR9,ENSG00000104643
AF131216.1,ENSG00000246477
SLC35G5,ENSG00000177710
FAM167A,ENSG00000154319
AF131216.5,
BLK,ENSG00000136573
NEIL2,ENSG00000154328
FDFT1,ENSG00000079459
AC069185.1,ENSG00000255046
CTSB,ENSG00000164733
FAM86B1,ENSG00000186523
AC145124.1,ENSG00000255495
AC087203.3,ENSG00000270074
LONRF1,ENSG00000154359
DLC1,ENSG00000164741
MSR1,ENSG00000038945
MICU3,ENSG00000155970
ZDHHC2,ENSG00000104219
CNOT7,ENSG00000198791
VPS37A,ENSG00000155975
MTUS1,ENSG00000129422
AC087273.2,ENSG00000254054
PCM1,ENSG00000078674
ASAH1,ENSG00000104763
AC124242.1,ENSG00000245281
NAT1,ENSG00000171428
PSD3,ENSG00000156011
SH2D4A,ENSG00000104611
CSGALNACT1,ENSG00000147408
INTS10,ENSG00000104613
LPL,ENSG00000175445
ATP6V1B2,ENSG00000147416
LZTS1,ENSG00000061337
AC015468.3,ENSG00000254092
GFRA2,ENSG00000168546
DOK2,ENSG00000147443
XPO7,ENSG00000130227
NPM2,ENSG00000158806
DMTN,ENSG00000158856
FAM160B2,ENSG00000158863
NUDT18,ENSG00000275074
REEP4,ENSG00000168476
BMP1,ENSG00000168487
POLR3D,ENSG00000168495
PIWIL2,ENSG00000197181
SLC39A14,ENSG00000104635
PPP3CC,ENSG00000120910
AC037459.2,ENSG00000251034
SORBS3,ENSG00000120896
PDLIM2,ENSG00000120913
C8orf58,ENSG00000241852
CCAR2,ENSG00000158941
AC037459.3,ENSG00000253200
BIN3,ENSG00000147439
EGR3,ENSG00000179388
PEBP4,ENSG00000134020
AC107959.1,ENSG00000245025
RHOBTB2,ENSG00000008853
TNFRSF10B,ENSG00000120889
AC107959.4,
TNFRSF10C,ENSG00000173535
TNFRSF10D,ENSG00000173530
TNFRSF10A,ENSG00000104689
CHMP7,ENSG00000147457
R3HCC1,ENSG00000104679
LOXL2,ENSG00000134013
ENTPD4,ENSG00000197217
SLC25A37,ENSG00000147454
NKX3-1,ENSG00000167034
ADAM28,ENSG00000042980
AC120193.1,ENSG00000253535
ADAMDEC1,ENSG00000134028
AF106564.1,ENSG00000272163
NEFM,ENSG00000104722
NEFL,ENSG00000277586
DOCK5,ENSG00000147459
GNRH1,ENSG00000147437
KCTD9,ENSG00000104756
CDCA2,ENSG00000184661
PPP2R2A,ENSG00000221914
BNIP3L,ENSG00000104765
DPYSL2,ENSG00000092964
TRIM35,ENSG00000104228
PTK2B,ENSG00000120899
EPHX2,ENSG00000120915
CLU,ENSG00000120885
CCDC25,ENSG00000147419
ESCO2,ENSG00000171320
PBK,ENSG00000168078
NUGGC,ENSG00000189233
ELP3,ENSG00000134014
PNOC,ENSG00000168081
ZNF395,ENSG00000186918
FZD3,ENSG00000104290
EXTL3,ENSG00000012232
EXTL3-AS1,ENSG00000246339
INTS9,ENSG00000104299
INTS9-AS1,ENSG00000254034
HMBOX1,ENSG00000147421
KIF13B,ENSG00000197892
DUSP4,ENSG00000120875
SARAF,ENSG00000133872
AC044849.1,ENSG00000254013
LEPROTL1,ENSG00000104660
AC026979.2,ENSG00000253708
DCTN6,ENSG00000104671
AC026979.3,ENSG00000271869
RBPMS,ENSG00000157110
GTF2E2,ENSG00000197265
GSR,ENSG00000104687
UBXN8,ENSG00000104691
PPP2CB,ENSG00000104695
WRN,ENSG00000165392
NRG1,ENSG00000157168
AC090204.1,ENSG00000247134
AC067838.1,ENSG00000272338
FUT10,ENSG00000172728
TTI2,ENSG00000129696
MAK16,ENSG00000198042
RNF122,ENSG00000133874
ZNF703,ENSG00000183779
AC138356.1,ENSG00000183154
ERLIN2,ENSG00000147475
PLPBP,ENSG00000147471
ADGRA2,ENSG00000020181
BRF2,ENSG00000104221
RAB11FIP1,ENSG00000156675
EIF4EBP1,ENSG00000187840
ASH2L,ENSG00000129691
LSM1,ENSG00000175324
BAG4,ENSG00000156735
DDHD2,ENSG00000085788
PLPP5,ENSG00000147535
NSD3,ENSG00000147548
AC087623.3,ENSG00000272092
LETM2,ENSG00000165046
FGFR1,ENSG00000077782
TACC1,ENSG00000147526
AC067817.2,ENSG00000253829
PLEKHA2,ENSG00000169499
AC108863.1,ENSG00000253645
TM2D2,ENSG00000169490
ADAM9,ENSG00000168615
IDO1,ENSG00000131203
ZMAT4,ENSG00000165061
GOLGA7,ENSG00000147533
GINS4,ENSG00000147536
GPAT4,ENSG00000158669
NKX6-3,ENSG00000165066
ANK1,ENSG00000029534
AC027702.1,ENSG00000260588
KAT6A,ENSG00000083168
AC103724.4,ENSG00000271938
AP3M2,ENSG00000070718
PLAT,ENSG00000104368
AC083973.1,ENSG00000253408
IKBKB,ENSG00000104365
POLB,ENSG00000070501
VDAC3,ENSG00000078668
SLC20A2,ENSG00000168575
AC090739.1,ENSG00000254165
SMIM19,ENSG00000176209
THAP1,ENSG00000131931
RNF170,ENSG00000120925
HOOK3,ENSG00000168172
FNTA,ENSG00000168522
POMK,ENSG00000185900
HGSNAT,ENSG00000165102
SPIDR,ENSG00000164808
CEBPD,ENSG00000221869
PRKDC,ENSG00000253729
MCM4,ENSG00000104738
UBE2V2,ENSG00000169139
AC026904.2,ENSG00000253140
PCMTD1,ENSG00000168300
AC064807.1,ENSG00000228801
AC064807.4,ENSG00000272024
RB1CC1,ENSG00000023287
ATP6V1H,ENSG00000047249
TCEA1,ENSG00000187735
AC100821.2,ENSG00000260955
LYPLA1,ENSG00000120992
MRPL15,ENSG00000137547
TMEM68,ENSG00000167904
TGS1,ENSG00000137574
LYN,ENSG00000254087
RPS20,ENSG00000008988
PLAG1,ENSG00000181690
CHCHD7,ENSG00000170791
AC107952.2,ENSG00000272343
LINC00968,ENSG00000246430
IMPAD1,ENSG00000104331
FAM110B,ENSG00000169122
UBXN2B,ENSG00000215114
SDCBP,ENSG00000137575
NSMAF,ENSG00000035681
TOX,ENSG00000198846
AC090152.1,ENSG00000167912
CA8,ENSG00000178538
